"screen_name","twscore","type","party","twscore.sd"
"@tedcruz",0.894600610231285,"Primary Candidate","Republican",0.107876687727413
"@RealBenCarson",0.894156806864714,"Primary Candidate","Republican",0.119322810290917
"@ScottWalker",0.877161863150396,"Primary Candidate","Republican",0.0821176608754946
"@RandPaul",0.828564161132692,"Primary Candidate","Republican",0.0944038104760915
"@rushlimbaugh",0.793861414229364,"Media Outlets","Z",0.103371434237243
"@BobbyJindal",0.787133855685619,"Primary Candidate","Republican",0.0729396547742316
"@GovernorPerry",0.753168402452573,"Primary Candidate","Republican",0.0811958387418963
"@GovernorPataki",0.739773742241591,"Primary Candidate","Republican",0.0565460137043936
"@JohnKasich",0.728352762758985,"Primary Candidate","Republican",0.0473148127517622
"@marcorubio",0.693561023119738,"Primary Candidate","Republican",0.0847638111372098
"@DRUDGE_REPORT",0.684770606842833,"Media Outlets","Z",0.0762702263215673
"@RepPaulRyan",0.657935483510103,"Congress","Republican",0.0801988339883632
"@GrahamBlog",0.639530726646828,"Primary Candidate","Republican",0.0465053913732123
"@GovMikeHuckabee",0.574440667738157,"Primary Candidate","Republican",0.0923645720566652
"@JebBush",0.565470336283973,"Primary Candidate","Republican",0.064372214008947
"@RickSantorum",0.557653444197731,"Primary Candidate","Republican",0.0776617241027789
"@FoxNews",0.53609906504787,"Media Outlets","Z",0.0710464793715792
"@GovChristie",0.377815429183281,"Primary Candidate","Republican",0.0629138616509744
"@CarlyFiorina",0.374899974485871,"Primary Candidate","Republican",0.0805297185228981
"@realDonaldTrump",0.326278669565945,"Primary Candidate","Republican",0.0787993320035484
"@WSJ",0.16046825551405,"Media Outlets","Z",0.0629069767593362
"@washingtonpost",-0.12219544941275,"Media Outlets","Z",0.0686054184627019
"@nytimes",-0.184989728942652,"Media Outlets","Z",0.0712213732274652
"@msnbc",-0.465872694690406,"Media Outlets","Z",0.0766815880446176
"@JimWebbUSA",-0.508306239047498,"Primary Candidate","Democrat",0.0684047430814479
"@HillaryClinton",-0.67808168739215,"Primary Candidate","Democrat",0.0984009011934264
"@POTUS",-0.77327879259431,"Pres. Obama","Z",0.0828110394843994
"@LincolnChafee",-0.793353438929634,"Primary Candidate","Democrat",0.103421757674423
"@MotherJones",-1.00973424311726,"Media Outlets","Z",0.0862258028656167
"@GovernorOMalley",-1.19274589809161,"Primary Candidate","Democrat",0.0654471446692017
"@SenSanders",-1.44881647180515,"Primary Candidate","Democrat",0.117964179715922
"@SenWarren",-1.60214190322205,"Congress","Democrat",0.145446728953211
