"id","screen_name","text","polite","sentiment","communication","retweet_count","followers_count","favourites_count","created_at"
462353690528333824,"hubmum","@LocalRachel @digidemocracyuk @YOURvoiceParty thank you! Will have a look","polite","neutral","engaging",0,9093,6891,"Fri May 02 22:11:24 +0000 2014"
462354001766674432,"BenDunnell","@GawainTowler Nice that you tacitly admit that your supporters are illiterate cretins. PS: 'Suffrage'. 'Lets'.","polite","negative","engaging",0,1048,15124,"Fri May 02 22:12:38 +0000 2014"
462354751397842944,"AndyGilder","@joanneatom @nickgriffinmep Someone should hit him with a string of sausages. Go nicely with the egg.","impolite","negative","engaging",0,1948,12864,"Fri May 02 22:15:37 +0000 2014"
462355290072285184,"danielrhamilton","@Ruben_NYC @savajanjic @davidedenti And why can't they use it?  Due to intimidation and threats.  That's why.","polite","neutral","engaging",0,9052,6122,"Fri May 02 22:17:45 +0000 2014"
462356710855045120,"AddyNuf","It appears that @nickgriffinmep  Really was using ""5end7he8uggers8ack"" as his general password.","polite","negative","broadcasting",0,119,383,"Fri May 02 22:23:24 +0000 2014"
462357936208379904,"kevcow","@haazbeats it's done","polite","neutral","engaging",0,1317,1374,"Fri May 02 22:28:16 +0000 2014"
462358076608512000,"daavlawson","Hahahaha @nickgriffinmep has been hacked, what a bellend","impolite","negative","broadcasting",2,1101,857,"Fri May 02 22:28:50 +0000 2014"
462358092051935232,"Bin_Barber","So it seems that @nickgriffinmep has been hacked. Now is the only acceptable time to retweet anything he says.","polite","negative","broadcasting",0,257,330,"Fri May 02 22:28:54 +0000 2014"
462358383249850368,"APB1974","@nickgriffinmep @Baddiel Hacked? Really? Or Drunken rant by account owner? We have all regretted a Jack Daniels tweet! #ignoramus","polite","negative","engaging",0,36,272,"Fri May 02 22:30:03 +0000 2014"
462358979138822144,"aoifemrtn","@anitambyrne @nickgriffinmep Couldn't happen to a nicer guy.","polite","positive","engaging",0,2879,31259,"Fri May 02 22:32:25 +0000 2014"
462359402558021632,"danielrhamilton","@Ruben_NYC @savajanjic @davidedenti It is a church and, as has already been explained, it has been consecrated.","polite","neutral","engaging",0,9052,6122,"Fri May 02 22:34:06 +0000 2014"
462359722008797184,"Dandy_Lord","""@nickgriffinmep: My new video of election campaign on http://t.co/t4QLNQSLlV"" if you're hacking him throw in some black porn","polite","negative","broadcasting",0,1236,7080,"Fri May 02 22:35:22 +0000 2014"
462359841315377152,"DavidWickham3","Its time for The English to stand up for England...  http://t.co/0aaMO3jlMr http://t.co/1Mfx1pOo7W","polite","neutral","broadcasting",0,126,1,"Fri May 02 22:35:51 +0000 2014"
462359853554728960,"Briar_bee","Divine retribution? I think so. #nickgriffinhacked""@nickgriffinmep: My new video of election campaign on http://t.co/ceTcNX3lES""","impolite","negative","broadcasting",0,271,431,"Fri May 02 22:35:53 +0000 2014"
